device_name,timestamp_ms,value,datetime,year,month
X360,1291179600000,4199911,2010-12-01 05:00:00,2010,12
X360,1293858000000,873944,2011-01-01 05:00:00,2011,1
X360,1296536400000,845322,2011-02-01 05:00:00,2011,2
X360,1298955600000,776301,2011-03-01 05:00:00,2011,3
X360,1301630400000,598657,2011-04-01 04:00:00,2011,4
X360,1304222400000,567808,2011-05-01 04:00:00,2011,5
X360,1306900800000,714559,2011-06-01 04:00:00,2011,6
X360,1309492800000,573805,2011-07-01 04:00:00,2011,7
X360,1312171200000,533937,2011-08-01 04:00:00,2011,8
X360,1314849600000,851243,2011-09-01 04:00:00,2011,9
X360,1317441600000,907172,2011-10-01 04:00:00,2011,10
X360,1320120000000,2795562,2011-11-01 04:00:00,2011,11
X360,1322715600000,4099007,2011-12-01 05:00:00,2011,12
X360,1325394000000,689830,2012-01-01 05:00:00,2012,1
X360,1328072400000,626384,2012-02-01 05:00:00,2012,2
X360,1330578000000,609629,2012-03-01 05:00:00,2012,3
X360,1333252800000,479862,2012-04-01 04:00:00,2012,4
X360,1335844800000,378616,2012-05-01 04:00:00,2012,5
X360,1338523200000,517436,2012-06-01 04:00:00,2012,6
X360,1341115200000,419031,2012-07-01 04:00:00,2012,7
X360,1343793600000,420861,2012-08-01 04:00:00,2012,8
X360,1346472000000,617708,2012-09-01 04:00:00,2012,9
X360,1349064000000,716377,2012-10-01 04:00:00,2012,10
X360,1351742400000,2271734,2012-11-01 04:00:00,2012,11
X360,1354338000000,3101153,2012-12-01 05:00:00,2012,12
X360,1357016400000,652573,2013-01-01 05:00:00,2013,1
X360,1359694800000,488549,2013-02-01 05:00:00,2013,2
X360,1362114000000,495720,2013-03-01 05:00:00,2013,3
X360,1364788800000,306325,2013-04-01 04:00:00,2013,4
X360,1367380800000,241976,2013-05-01 04:00:00,2013,5
X360,1370059200000,309287,2013-06-01 04:00:00,2013,6
X360,1372651200000,234366,2013-07-01 04:00:00,2013,7
X360,1375329600000,218195,2013-08-01 04:00:00,2013,8
X360,1378008000000,458406,2013-09-01 04:00:00,2013,9
X360,1380600000000,400482,2013-10-01 04:00:00,2013,10
X360,1383278400000,1011393,2013-11-01 04:00:00,2013,11
X360,1385874000000,1462079,2013-12-01 05:00:00,2013,12
X360,1388552400000,160259,2014-01-01 05:00:00,2014,1
X360,1391230800000,163049,2014-02-01 05:00:00,2014,2
X360,1393650000000,177834,2014-03-01 05:00:00,2014,3
X360,1396324800000,125075,2014-04-01 04:00:00,2014,4
X360,1398916800000,99321,2014-05-01 04:00:00,2014,5
X360,1401595200000,107744,2014-06-01 04:00:00,2014,6
X360,1404187200000,79540,2014-07-01 04:00:00,2014,7
X360,1406865600000,77951,2014-08-01 04:00:00,2014,8
X360,1409544000000,135299,2014-09-01 04:00:00,2014,9
X360,1412136000000,214567,2014-10-01 04:00:00,2014,10
X360,1414814400000,295915,2014-11-01 04:00:00,2014,11
X360,1417410000000,428591,2014-12-01 05:00:00,2014,12
X360,1420088400000,43904,2015-01-01 05:00:00,2015,1
X360,1422766800000,39758,2015-02-01 05:00:00,2015,2
X360,1425186000000,39727,2015-03-01 05:00:00,2015,3
X360,1427860800000,28016,2015-04-01 04:00:00,2015,4
X360,1430452800000,24617,2015-05-01 04:00:00,2015,5
X360,1433131200000,29422,2015-06-01 04:00:00,2015,6
X360,1435723200000,22933,2015-07-01 04:00:00,2015,7
X360,1438401600000,20015,2015-08-01 04:00:00,2015,8
X360,1441080000000,37089,2015-09-01 04:00:00,2015,9
X360,1443672000000,36398,2015-10-01 04:00:00,2015,10
X360,1446350400000,75178,2015-11-01 04:00:00,2015,11
X360,1448946000000,171953,2015-12-01 05:00:00,2015,12
X360,1451624400000,17236,2016-01-01 05:00:00,2016,1
X360,1454302800000,15958,2016-02-01 05:00:00,2016,2
X360,1456808400000,18309,2016-03-01 05:00:00,2016,3
X360,1459483200000,14043,2016-04-01 04:00:00,2016,4
X360,1462075200000,13348,2016-05-01 04:00:00,2016,5
X360,1464753600000,16544,2016-06-01 04:00:00,2016,6
X360,1467345600000,12854,2016-07-01 04:00:00,2016,7
X360,1470024000000,12411,2016-08-01 04:00:00,2016,8
X360,1472702400000,17308,2016-09-01 04:00:00,2016,9
X360,1475294400000,14737,2016-10-01 04:00:00,2016,10
X360,1477972800000,33252,2016-11-01 04:00:00,2016,11
X360,1480568400000,60181,2016-12-01 05:00:00,2016,12
X360,1483246800000,5194,2017-01-01 05:00:00,2017,1
X360,1485925200000,3756,2017-02-01 05:00:00,2017,2
X360,1488344400000,4104,2017-03-01 05:00:00,2017,3
X360,1491019200000,2713,2017-04-01 04:00:00,2017,4
X360,1493611200000,2376,2017-05-01 04:00:00,2017,5
X360,1496289600000,2721,2017-06-01 04:00:00,2017,6
X360,1498881600000,1686,2017-07-01 04:00:00,2017,7
X360,1501560000000,1557,2017-08-01 04:00:00,2017,8
X360,1504238400000,1602,2017-09-01 04:00:00,2017,9
X360,1506830400000,1149,2017-10-01 04:00:00,2017,10
X360,1509508800000,960,2017-11-01 04:00:00,2017,11
X360,1512104400000,1276,2017-12-01 05:00:00,2017,12
DS,1099285200000,546507,2004-11-01 05:00:00,2004,11
DS,1101877200000,2310880,2004-12-01 05:00:00,2004,12
DS,1104555600000,426958,2005-01-01 05:00:00,2005,1
DS,1107234000000,290589,2005-02-01 05:00:00,2005,2
DS,1109653200000,919906,2005-03-01 05:00:00,2005,3
DS,1112331600000,448809,2005-04-01 05:00:00,2005,4
DS,1114920000000,383969,2005-05-01 04:00:00,2005,5
DS,1117598400000,496260,2005-06-01 04:00:00,2005,6
DS,1120190400000,381126,2005-07-01 04:00:00,2005,7
DS,1122868800000,492803,2005-08-01 04:00:00,2005,8
DS,1125547200000,584651,2005-09-01 04:00:00,2005,9
DS,1128139200000,645738,2005-10-01 04:00:00,2005,10
DS,1130821200000,1361640,2005-11-01 05:00:00,2005,11
DS,1133413200000,4530346,2005-12-01 05:00:00,2005,12
DS,1136091600000,823829,2006-01-01 05:00:00,2006,1
DS,1138770000000,546254,2006-02-01 05:00:00,2006,2
DS,1141189200000,1296381,2006-03-01 05:00:00,2006,3
DS,1143867600000,1324719,2006-04-01 05:00:00,2006,4
DS,1146456000000,1169418,2006-05-01 04:00:00,2006,5
DS,1149134400000,1921534,2006-06-01 04:00:00,2006,6
DS,1151726400000,1647570,2006-07-01 04:00:00,2006,7
DS,1154404800000,1409550,2006-08-01 04:00:00,2006,8
DS,1157083200000,1884429,2006-09-01 04:00:00,2006,9
DS,1159675200000,1240877,2006-10-01 04:00:00,2006,10
DS,1162357200000,2197955,2006-11-01 05:00:00,2006,11
DS,1164949200000,5291269,2006-12-01 05:00:00,2006,12
DS,1167627600000,1479784,2007-01-01 05:00:00,2007,1
DS,1170306000000,1840894,2007-02-01 05:00:00,2007,2
DS,1172725200000,2094738,2007-03-01 05:00:00,2007,3
DS,1175400000000,1805851,2007-04-01 04:00:00,2007,4
DS,1177992000000,1890218,2007-05-01 04:00:00,2007,5
DS,1180670400000,2177140,2007-06-01 04:00:00,2007,6
DS,1183262400000,1930670,2007-07-01 04:00:00,2007,7
DS,1185940800000,1893903,2007-08-01 04:00:00,2007,8
DS,1188619200000,2002764,2007-09-01 04:00:00,2007,9
DS,1191211200000,1619268,2007-10-01 04:00:00,2007,10
DS,1193889600000,2950964,2007-11-01 04:00:00,2007,11
DS,1196485200000,7539709,2007-12-01 05:00:00,2007,12
DS,1199163600000,1919012,2008-01-01 05:00:00,2008,1
DS,1201842000000,1640672,2008-02-01 05:00:00,2008,2
DS,1204347600000,1920073,2008-03-01 05:00:00,2008,3
DS,1207022400000,1514136,2008-04-01 04:00:00,2008,4
DS,1209614400000,1387098,2008-05-01 04:00:00,2008,5
DS,1212292800000,2217186,2008-06-01 04:00:00,2008,6
DS,1214884800000,1964577,2008-07-01 04:00:00,2008,7
DS,1217563200000,1645388,2008-08-01 04:00:00,2008,8
DS,1220241600000,1838789,2008-09-01 04:00:00,2008,9
DS,1222833600000,1722897,2008-10-01 04:00:00,2008,10
DS,1225512000000,3883372,2008-11-01 04:00:00,2008,11
DS,1228107600000,7623240,2008-12-01 05:00:00,2008,12
DS,1230786000000,1601327,2009-01-01 05:00:00,2009,1
DS,1233464400000,1352115,2009-02-01 05:00:00,2009,2
DS,1235883600000,1932586,2009-03-01 05:00:00,2009,3
DS,1238558400000,2269545,2009-04-01 04:00:00,2009,4
DS,1241150400000,1504343,2009-05-01 04:00:00,2009,5
DS,1243828800000,1905843,2009-06-01 04:00:00,2009,6
DS,1246420800000,1740345,2009-07-01 04:00:00,2009,7
DS,1249099200000,1431910,2009-08-01 04:00:00,2009,8
DS,1251777600000,1673764,2009-09-01 04:00:00,2009,9
DS,1254369600000,1351850,2009-10-01 04:00:00,2009,10
DS,1257048000000,3303119,2009-11-01 04:00:00,2009,11
